run,H_end,issued,remaining,interval,n_a,m1
82,14,2592000.0,18408000.0,60.0,3,1.0
83,24,2592000.0,18408000.0,600.0,5,1.0
84,16,2592000.0,18408000.0,10.0,6,1.0
85,34,2592000.0000000005,18408000.0,1.0,3,1.0
86,11,2592000.0000000005,18408000.0,1.0,5,1.0
87,54,2592000.0000000005,18408000.0,1.0,5,1.0
88,40,2592000.0,18408000.0,60.0,4,1.0
89,214,2592000.0,18408000.0,600.0,4,1.0
90,14,2592000.0,18408000.0,60.0,3,1.0
91,29,2592000.0000000005,18408000.0,1.0,6,1.0
92,22,2592000.0,18408000.0,600.0,2,1.0
93,88,2592000.0,18408000.0,10.0,4,1.0
94,60,2592000.0,18408000.0,600.0,5,1.0
95,37,2592000.0,18408000.0,60.0,3,1.0
96,413,2592000.0,18408000.0,600.0,6,1.0
97,21,2592000.0,18408000.0,10.0,2,1.0
98,43,2592000.0,18408000.0,60.0,9,1.0
99,12,2592000.0000000005,18408000.0,1.0,3,1.0
100,107,2592000.0,18408000.0,600.0,5,1.0
101,27,2592000.0,18408000.0,10.0,2,1.0
102,30,2592000.0,18408000.0,10.0,4,1.0
103,110,2592000.0000000005,18408000.0,1.0,4,1.0
104,15,2592000.0,18408000.0,600.0,4,1.0
105,85,2592000.0,18408000.0,10.0,3,1.0
106,19,2592000.0,18408000.0,600.0,5,1.0
107,15,2592000.0,18408000.0,600.0,3,1.0
108,33,2592000.0,18408000.0,600.0,3,1.0
109,31,2592000.0,18408000.0,10.0,3,1.0
110,11,2592000.0,18408000.0,600.0,5,1.0
111,17,2592000.0,18408000.0,600.0,3,1.0
112,62,2592000.0,18408000.0,10.0,5,1.0
113,93,2592000.0,18408000.0,600.0,3,1.0
114,22,2592000.0,18408000.0,10.0,3,1.0
115,37,2592000.0,18408000.0,60.0,4,1.0
116,41,2592000.0000000005,18408000.0,1.0,3,1.0
117,29,2592000.0,18408000.0,600.0,2,1.0
118,18,2592000.0,18408000.0,600.0,2,1.0
119,10,2592000.0,18408000.0,600.0,6,1.0
120,12,2592000.0,18408000.0,600.0,2,1.0
121,17,2592000.0000000005,18408000.0,1.0,7,1.0
122,20,2592000.0,18408000.0,10.0,2,1.0
123,14,2592000.0,18408000.0,10.0,6,1.0
124,17,2592000.0,18408000.0,60.0,6,1.0
125,51,2592000.0,18408000.0,10.0,8,1.0
126,53,2592000.0,18408000.0,600.0,1,1.0
127,15,2592000.0,18408000.0,10.0,3,1.0
128,48,2592000.0,18408000.0,600.0,2,1.0
129,14,2592000.0000000005,18408000.0,1.0,6,1.0
130,96,2592000.0,18408000.0,10.0,7,1.0
131,30,2592000.0,18408000.0,10.0,6,1.0
132,39,2592000.0000000005,18408000.0,1.0,3,1.0
133,47,2592000.0000000005,18408000.0,1.0,2,1.0
134,17,2592000.0,18408000.0,10.0,3,1.0
135,22,2592000.0,18408000.0,600.0,3,1.0
136,17,2592000.0000000005,18408000.0,1.0,6,1.0
137,52,2592000.0,18408000.0,600.0,2,1.0
138,38,2592000.0,18408000.0,60.0,2,1.0
139,9,2592000.0,18408000.0,10.0,3,1.0
140,79,2592000.0000000005,18408000.0,1.0,3,1.0
141,26,2592000.0000000005,18408000.0,1.0,4,1.0
142,34,2592000.0,18408000.0,600.0,2,1.0
143,18,2592000.0000000005,18408000.0,1.0,4,1.0
144,59,2592000.0,18408000.0,10.0,7,1.0
145,25,2592000.0,18408000.0,60.0,2,1.0
146,23,2592000.0,18408000.0,60.0,5,1.0
147,45,2592000.0,18408000.0,600.0,3,1.0
148,20,2592000.0,18408000.0,10.0,2,1.0
149,19,2592000.0,18408000.0,60.0,4,1.0
150,35,2592000.0,18408000.0,60.0,7,1.0
151,52,2592000.0000000005,18408000.0,1.0,2,1.0
152,12,2592000.0,18408000.0,60.0,3,1.0
153,28,2592000.0,18408000.0,10.0,5,1.0
154,21,2592000.0,18408000.0,600.0,5,1.0
155,17,2592000.0,18408000.0,10.0,3,1.0
156,54,2592000.0,18408000.0,600.0,7,1.0
157,120,2592000.0,18408000.0,60.0,4,1.0
158,20,2592000.0000000005,18408000.0,1.0,7,1.0
159,104,2592000.0,18408000.0,600.0,5,1.0
160,11,2592000.0,18408000.0,600.0,6,1.0
161,24,2592000.0000000005,18408000.0,1.0,4,1.0
162,236,2592000.0,18408000.0,600.0,4,1.0
163,14,2592000.0,18408000.0,600.0,7,1.0
164,27,2592000.0,18408000.0,60.0,4,1.0
165,15,2592000.0000000005,18408000.0,1.0,4,1.0
166,14,2592000.0,18408000.0,60.0,3,1.0
167,16,2592000.0,18408000.0,600.0,2,1.0
168,23,2592000.0,18408000.0,60.0,2,1.0
169,20,2592000.0,18408000.0,10.0,4,1.0
170,48,2592000.0,18408000.0,10.0,1,1.0
171,21,2592000.0,18408000.0,600.0,4,1.0
172,24,2592000.0,18408000.0,60.0,5,1.0
173,52,2592000.0,18408000.0,10.0,3,1.0
174,47,2592000.0,18408000.0,10.0,3,1.0
175,17,2592000.0,18408000.0,600.0,5,1.0
176,20,2592000.0000000005,18408000.0,1.0,5,1.0
177,159,2592000.0,18408000.0,600.0,2,1.0
178,160,2592000.0,18408000.0,60.0,6,1.0
179,37,2592000.0,18408000.0,600.0,6,1.0
180,31,2592000.0,18408000.0,600.0,8,1.0
181,19,2592000.0000000005,18408000.0,1.0,4,1.0
182,35,2592000.0,18408000.0,600.0,6,1.0
183,51,2592000.0,18408000.0,60.0,2,1.0
184,49,2592000.0,18408000.0,600.0,5,1.0
185,18,2592000.0,18408000.0,600.0,2,1.0
186,179,2592000.0000000005,18408000.0,1.0,1,1.0
187,11,2592000.0,18408000.0,600.0,2,1.0
188,12,2592000.0,18408000.0,600.0,6,1.0
189,42,2592000.0,18408000.0,600.0,4,1.0
190,32,2592000.0,18408000.0,600.0,6,1.0
191,19,2592000.0,18408000.0,10.0,4,1.0
192,39,2592000.0,18408000.0,60.0,4,1.0
193,43,2592000.0,18408000.0,60.0,4,1.0
194,13,2592000.0,18408000.0,10.0,5,1.0
195,153,2592000.0,18408000.0,60.0,1,1.0
196,26,2592000.0,18408000.0,10.0,3,1.0
197,56,2592000.0,18408000.0,600.0,6,1.0
198,121,2592000.0,18408000.0,10.0,5,1.0
199,22,2592000.0000000005,18408000.0,1.0,2,1.0
200,25,2592000.0,18408000.0,600.0,5,1.0
201,18,2592000.0000000005,18408000.0,1.0,6,1.0
202,20,2592000.0,18408000.0,60.0,2,1.0
203,49,2592000.0,18408000.0,600.0,3,1.0
204,58,2592000.0,18408000.0,600.0,5,1.0
205,24,2592000.0000000005,18408000.0,1.0,8,1.0
206,37,2592000.0,18408000.0,600.0,3,1.0
207,29,2592000.0,18408000.0,600.0,5,1.0
208,33,2592000.0,18408000.0,600.0,3,1.0
209,49,2592000.0,18408000.0,60.0,3,1.0
210,63,2592000.0,18408000.0,600.0,5,1.0
211,38,2592000.0,18408000.0,600.0,5,1.0
212,90,2592000.0000000005,18408000.0,1.0,1,1.0
213,63,2592000.0000000005,18408000.0,1.0,5,1.0
214,14,2592000.0,18408000.0,60.0,5,1.0
215,23,2592000.0000000005,18408000.0,1.0,5,1.0
216,46,2592000.0000000005,18408000.0,1.0,1,1.0
217,18,2592000.0000000005,18408000.0,1.0,1,1.0
218,36,2592000.0,18408000.0,10.0,2,1.0
219,10,2592000.0,18408000.0,60.0,3,1.0
220,18,2592000.0000000005,18408000.0,1.0,3,1.0
221,37,2592000.0,18408000.0,60.0,1,1.0
222,14,2592000.0000000005,18408000.0,1.0,3,1.0
223,13,2592000.0,18408000.0,60.0,3,1.0
224,35,2592000.0,18408000.0,60.0,5,1.0
225,10,2592000.0,18408000.0,60.0,4,1.0
226,20,2592000.0000000005,18408000.0,1.0,4,1.0
227,114,2592000.0,18408000.0,60.0,4,1.0
228,18,2592000.0,18408000.0,600.0,4,1.0
229,24,2592000.0,18408000.0,60.0,2,1.0
230,16,2592000.0,18408000.0,600.0,2,1.0
231,33,2592000.0,18408000.0,600.0,5,1.0
232,96,2592000.0,18408000.0,60.0,5,1.0
233,61,2592000.0,18408000.0,600.0,1,1.0
234,21,2592000.0,18408000.0,10.0,2,1.0
235,22,2592000.0,18408000.0,600.0,8,1.0
236,20,2592000.0,18408000.0,60.0,1,1.0
237,26,2592000.0,18408000.0,60.0,6,1.0
238,39,2592000.0,18408000.0,10.0,3,1.0
239,158,2592000.0,18408000.0,10.0,4,1.0
240,17,2592000.0,18408000.0,60.0,6,1.0
241,47,2592000.0,18408000.0,60.0,1,1.0
242,60,2592000.0,18408000.0,10.0,3,1.0
243,13,2592000.0,18408000.0,10.0,8,1.0
244,18,2592000.0,18408000.0,60.0,7,1.0
245,26,2592000.0,18408000.0,600.0,2,1.0
246,206,2592000.0,18408000.0,10.0,1,1.0
247,116,2592000.0,18408000.0,600.0,6,1.0
248,14,2592000.0,18408000.0,10.0,5,1.0
249,149,2592000.0,18408000.0,10.0,5,1.0
250,17,2592000.0000000005,18408000.0,1.0,4,1.0
251,63,2592000.0,18408000.0,60.0,4,1.0
252,79,2592000.0,18408000.0,10.0,6,1.0
253,18,2592000.0,18408000.0,600.0,5,1.0
254,61,2592000.0,18408000.0,10.0,5,1.0
255,12,2592000.0000000005,18408000.0,1.0,5,1.0
256,65,2592000.0000000005,18408000.0,1.0,4,1.0
257,24,2592000.0000000005,18408000.0,1.0,4,1.0
258,31,2592000.0000000005,18408000.0,1.0,4,1.0
259,81,2592000.0,18408000.0,10.0,1,1.0
260,54,2592000.0,18408000.0,10.0,2,1.0
261,53,2592000.0,18408000.0,600.0,5,1.0
262,25,2592000.0000000005,18408000.0,1.0,3,1.0
263,37,2592000.0,18408000.0,600.0,3,1.0
264,14,2592000.0000000005,18408000.0,1.0,4,1.0
265,256,2592000.0000000005,18408000.0,1.0,3,1.0
266,19,2592000.0,18408000.0,60.0,4,1.0
267,18,2592000.0,18408000.0,10.0,9,1.0
268,29,2592000.0,18408000.0,60.0,2,1.0
269,20,2592000.0,18408000.0,10.0,4,1.0
270,116,2592000.0,18408000.0,600.0,3,1.0
271,17,2592000.0000000005,18408000.0,1.0,3,1.0
272,19,2592000.0000000005,18408000.0,1.0,3,1.0
273,44,2592000.0,18408000.0,10.0,4,1.0
274,30,2592000.0000000005,18408000.0,1.0,5,1.0
275,15,2592000.0,18408000.0,600.0,5,1.0
276,16,2592000.0,18408000.0,600.0,4,1.0
277,208,2592000.0,18408000.0,10.0,6,1.0
278,93,2592000.0000000005,18408000.0,1.0,3,1.0
279,42,2592000.0000000005,18408000.0,1.0,4,1.0
280,107,2592000.0,18408000.0,60.0,3,1.0
281,17,2592000.0,18408000.0,60.0,4,1.0
282,24,2592000.0,18408000.0,60.0,5,1.0
283,34,2592000.0000000005,18408000.0,1.0,4,1.0
284,73,2592000.0,18408000.0,10.0,3,1.0
285,26,2592000.0000000005,18408000.0,1.0,6,1.0
286,39,2592000.0,18408000.0,10.0,4,1.0
287,25,2592000.0,18408000.0,600.0,2,1.0
288,51,2592000.0,18408000.0,60.0,1,1.0
289,48,2592000.0,18408000.0,60.0,4,1.0
290,68,2592000.0000000005,18408000.0,1.0,3,1.0
291,44,2592000.0000000005,18408000.0,1.0,5,1.0
292,52,2592000.0000000005,18408000.0,1.0,5,1.0
293,57,2592000.0,18408000.0,600.0,5,1.0
294,181,2592000.0000000005,18408000.0,1.0,2,1.0
295,137,2592000.0,18408000.0,60.0,4,1.0
296,15,2592000.0,18408000.0,600.0,8,1.0
297,28,2592000.0,18408000.0,600.0,2,1.0
298,17,2592000.0000000005,18408000.0,1.0,6,1.0
299,21,2592000.0,18408000.0,60.0,3,1.0
300,34,2592000.0,18408000.0,60.0,2,1.0
301,308,2592000.0000000005,18408000.0,1.0,4,1.0
302,36,2592000.0,18408000.0,10.0,4,1.0
303,13,2592000.0,18408000.0,10.0,4,1.0
304,57,2592000.0,18408000.0,600.0,2,1.0
305,57,2592000.0,18408000.0,600.0,4,1.0
306,9,2592000.0,18408000.0,60.0,5,1.0
307,264,2592000.0,18408000.0,600.0,6,1.0
308,51,2592000.0,18408000.0,10.0,5,1.0
309,16,2592000.0000000005,18408000.0,1.0,4,1.0
310,64,2592000.0000000005,18408000.0,1.0,4,1.0
311,15,2592000.0,18408000.0,60.0,6,1.0
312,31,2592000.0,18408000.0,60.0,3,1.0
313,13,2592000.0,18408000.0,10.0,3,1.0
314,15,2592000.0,18408000.0,60.0,3,1.0
315,23,2592000.0,18408000.0,600.0,4,1.0
316,40,2592000.0,18408000.0,600.0,8,1.0
317,54,2592000.0,18408000.0,600.0,4,1.0
318,26,2592000.0,18408000.0,60.0,4,1.0
319,17,2592000.0,18408000.0,10.0,2,1.0
320,122,2592000.0000000005,18408000.0,1.0,2,1.0
321,17,2592000.0000000005,18408000.0,1.0,2,1.0
322,37,2592000.0000000005,18408000.0,1.0,4,1.0
323,11,2592000.0000000005,18408000.0,1.0,4,1.0
324,63,2592000.0,18408000.0,60.0,5,1.0
325,51,2592000.0,18408000.0,60.0,6,1.0
326,31,2592000.0,18408000.0,60.0,6,1.0
327,45,2592000.0,18408000.0,600.0,1,1.0
328,105,2592000.0,18408000.0,60.0,2,1.0
329,21,2592000.0,18408000.0,10.0,1,1.0
330,43,2592000.0,18408000.0,60.0,8,1.0
331,24,2592000.0,18408000.0,60.0,4,1.0
332,18,2592000.0,18408000.0,60.0,5,1.0
333,14,2592000.0,18408000.0,60.0,4,1.0
334,38,2592000.0000000005,18408000.0,1.0,2,1.0
335,13,2592000.0,18408000.0,60.0,7,1.0
336,10,2592000.0,18408000.0,600.0,3,1.0
337,29,2592000.0,18408000.0,60.0,2,1.0
338,132,2592000.0,18408000.0,600.0,5,1.0
339,34,2592000.0,18408000.0,60.0,3,1.0
340,59,2592000.0,18408000.0,600.0,6,1.0
341,27,2592000.0,18408000.0,10.0,7,1.0
342,11,2592000.0000000005,18408000.0,1.0,4,1.0
343,30,2592000.0,18408000.0,10.0,6,1.0
344,99,2592000.0,18408000.0,60.0,4,1.0
345,55,2592000.0,18408000.0,600.0,1,1.0
346,24,2592000.0,18408000.0,60.0,4,1.0
347,20,2592000.0,18408000.0,60.0,7,1.0
348,10,2592000.0,18408000.0,600.0,6,1.0
349,62,2592000.0,18408000.0,60.0,5,1.0
350,85,2592000.0,18408000.0,10.0,4,1.0
351,199,2592000.0,18408000.0,60.0,2,1.0
352,66,2592000.0000000005,18408000.0,1.0,4,1.0
353,17,2592000.0,18408000.0,60.0,1,1.0
354,97,2592000.0,18408000.0,10.0,1,1.0
355,14,2592000.0,18408000.0,10.0,3,1.0
356,13,2592000.0000000005,18408000.0,1.0,3,1.0
357,27,2592000.0,18408000.0,60.0,4,1.0
358,315,2592000.0,18408000.0,60.0,4,1.0
359,29,2592000.0000000005,18408000.0,1.0,5,1.0
360,17,2592000.0,18408000.0,10.0,4,1.0
361,13,2592000.0000000005,18408000.0,1.0,5,1.0
362,127,2592000.0000000005,18408000.0,1.0,5,1.0
363,33,2592000.0,18408000.0,10.0,2,1.0
364,48,2592000.0,18408000.0,10.0,6,1.0
365,33,2592000.0,18408000.0,10.0,5,1.0
366,15,2592000.0,18408000.0,600.0,5,1.0
367,16,2592000.0000000005,18408000.0,1.0,4,1.0
368,94,2592000.0000000005,18408000.0,1.0,3,1.0
369,41,2592000.0,18408000.0,600.0,3,1.0
370,13,2592000.0,18408000.0,10.0,4,1.0
371,23,2592000.0,18408000.0,10.0,3,1.0
372,107,2592000.0,18408000.0,600.0,5,1.0
373,14,2592000.0,18408000.0,60.0,4,1.0
374,14,2592000.0,18408000.0,10.0,2,1.0
375,37,2592000.0,18408000.0,10.0,4,1.0
376,119,2592000.0,18408000.0,10.0,6,1.0
377,30,2592000.0000000005,18408000.0,1.0,5,1.0
378,72,2592000.0000000005,18408000.0,1.0,4,1.0
379,35,2592000.0,18408000.0,10.0,9,1.0
380,70,2592000.0000000005,18408000.0,1.0,7,1.0
381,131,2592000.0,18408000.0,10.0,3,1.0
382,23,2592000.0,18408000.0,60.0,3,1.0
383,13,2592000.0000000005,18408000.0,1.0,4,1.0
384,20,2592000.0,18408000.0,10.0,2,1.0
385,24,2592000.0000000005,18408000.0,1.0,5,1.0
386,32,2592000.0000000005,18408000.0,1.0,7,1.0
387,29,2592000.0,18408000.0,60.0,5,1.0
388,43,2592000.0000000005,18408000.0,1.0,3,1.0
389,71,2592000.0,18408000.0,10.0,3,1.0
390,11,2592000.0,18408000.0,600.0,6,1.0
391,62,2592000.0,18408000.0,10.0,3,1.0
392,18,2592000.0,18408000.0,600.0,5,1.0
393,16,2592000.0000000005,18408000.0,1.0,5,1.0
394,21,2592000.0000000005,18408000.0,1.0,4,1.0
395,64,2592000.0,18408000.0,10.0,4,1.0
396,42,2592000.0,18408000.0,60.0,4,1.0
397,16,2592000.0,18408000.0,10.0,5,1.0
398,37,2592000.0000000005,18408000.0,1.0,2,1.0
399,44,2592000.0,18408000.0,10.0,5,1.0
400,17,2592000.0,18408000.0,60.0,4,1.0
401,19,2592000.0,18408000.0,600.0,4,1.0
402,14,2592000.0,18408000.0,10.0,2,1.0
403,17,2592000.0,18408000.0,60.0,4,1.0
404,767,2592000.0000000005,18408000.0,1.0,2,1.0
405,13,2592000.0,18408000.0,600.0,4,1.0
406,25,2592000.0000000005,18408000.0,1.0,7,1.0
407,15,2592000.0,18408000.0,600.0,3,1.0
408,15,2592000.0,18408000.0,60.0,4,1.0
409,28,2592000.0,18408000.0,60.0,5,1.0
410,18,2592000.0000000005,18408000.0,1.0,10,1.0
411,11,2592000.0000000005,18408000.0,1.0,7,1.0
412,30,2592000.0,18408000.0,10.0,4,1.0
413,114,2592000.0000000005,18408000.0,1.0,2,1.0
414,189,2592000.0000000005,18408000.0,1.0,4,1.0
415,40,2592000.0,18408000.0,10.0,4,1.0
416,17,2592000.0,18408000.0,60.0,5,1.0
417,6,2592000.0,18408000.0,600.0,3,1.0
418,30,2592000.0,18408000.0,10.0,4,1.0
419,16,2592000.0,18408000.0,60.0,3,1.0
420,16,2592000.0,18408000.0,600.0,4,1.0
421,15,2592000.0,18408000.0,10.0,2,1.0
422,60,2592000.0,18408000.0,10.0,2,1.0
423,15,2592000.0,18408000.0,10.0,5,1.0
424,17,2592000.0000000005,18408000.0,1.0,4,1.0
425,79,2592000.0,18408000.0,600.0,4,1.0
426,79,2592000.0,18408000.0,10.0,5,1.0
427,20,2592000.0000000005,18408000.0,1.0,6,1.0
428,21,2592000.0000000005,18408000.0,1.0,3,1.0
429,16,2592000.0,18408000.0,600.0,7,1.0
430,18,2592000.0,18408000.0,10.0,2,1.0
431,24,2592000.0000000005,18408000.0,1.0,4,1.0
432,30,2592000.0,18408000.0,10.0,3,1.0
433,20,2592000.0,18408000.0,60.0,2,1.0
434,51,2592000.0000000005,18408000.0,1.0,4,1.0
435,531,2592000.0,18408000.0,60.0,4,1.0
436,36,2592000.0000000005,18408000.0,1.0,5,1.0
437,86,2592000.0,18408000.0,600.0,2,1.0
438,53,2592000.0,18408000.0,600.0,4,1.0
439,28,2592000.0000000005,18408000.0,1.0,2,1.0
440,45,2592000.0000000005,18408000.0,1.0,2,1.0
441,142,2592000.0,18408000.0,600.0,5,1.0
442,53,2592000.0,18408000.0,10.0,1,1.0
443,119,2592000.0000000005,18408000.0,1.0,2,1.0
444,9,2592000.0,18408000.0,60.0,5,1.0
445,24,2592000.0,18408000.0,10.0,2,1.0
446,17,2592000.0,18408000.0,10.0,7,1.0
447,117,2592000.0,18408000.0,10.0,4,1.0
448,87,2592000.0,18408000.0,60.0,4,1.0
449,38,2592000.0,18408000.0,10.0,2,1.0
450,30,2592000.0,18408000.0,60.0,5,1.0
451,63,2592000.0,18408000.0,600.0,3,1.0
452,21,2592000.0,18408000.0,60.0,4,1.0
453,148,2592000.0000000005,18408000.0,1.0,4,1.0
454,63,2592000.0000000005,18408000.0,1.0,2,1.0
455,20,2592000.0,18408000.0,600.0,6,1.0
456,14,2592000.0000000005,18408000.0,1.0,7,1.0
457,14,2592000.0,18408000.0,10.0,4,1.0
458,112,2592000.0,18408000.0,10.0,1,1.0
459,14,2592000.0,18408000.0,600.0,4,1.0
460,27,2592000.0,18408000.0,600.0,4,1.0
461,79,2592000.0,18408000.0,60.0,4,1.0
462,21,2592000.0000000005,18408000.0,1.0,5,1.0
463,25,2592000.0,18408000.0,600.0,4,1.0
464,30,2592000.0000000005,18408000.0,1.0,3,1.0
465,149,2592000.0000000005,18408000.0,1.0,1,1.0
466,44,2592000.0,18408000.0,60.0,2,1.0
467,17,2592000.0,18408000.0,600.0,6,1.0
468,16,2592000.0,18408000.0,10.0,2,1.0
469,27,2592000.0,18408000.0,600.0,6,1.0
470,40,2592000.0000000005,18408000.0,1.0,1,1.0
471,17,2592000.0000000005,18408000.0,1.0,6,1.0
472,17,2592000.0000000005,18408000.0,1.0,3,1.0
473,72,2592000.0,18408000.0,10.0,2,1.0
474,15,2592000.0,18408000.0,10.0,5,1.0
475,12,2592000.0,18408000.0,10.0,5,1.0
476,47,2592000.0,18408000.0,600.0,1,1.0
477,112,2592000.0000000005,18408000.0,1.0,4,1.0
478,10,2592000.0,18408000.0,10.0,5,1.0
479,235,2592000.0,18408000.0,600.0,5,1.0
480,14,2592000.0,18408000.0,10.0,2,1.0
481,94,2592000.0000000005,18408000.0,1.0,5,1.0
482,17,2592000.0,18408000.0,10.0,5,1.0
483,35,2592000.0,18408000.0,600.0,4,1.0
484,20,2592000.0,18408000.0,600.0,2,1.0
485,26,2592000.0,18408000.0,600.0,5,1.0
486,11,2592000.0,18408000.0,10.0,4,1.0
487,18,2592000.0,18408000.0,10.0,4,1.0
488,26,2592000.0,18408000.0,10.0,6,1.0
489,69,2592000.0,18408000.0,600.0,6,1.0
490,214,2592000.0,18408000.0,600.0,6,1.0
491,25,2592000.0,18408000.0,60.0,6,1.0
492,25,2592000.0000000005,18408000.0,1.0,6,1.0
493,15,2592000.0,18408000.0,600.0,7,1.0
494,19,2592000.0,18408000.0,600.0,4,1.0
495,19,2592000.0,18408000.0,60.0,6,1.0
496,480,2592000.0,18408000.0,10.0,7,1.0
497,26,2592000.0,18408000.0,600.0,3,1.0
498,57,2592000.0000000005,18408000.0,1.0,4,1.0
499,32,2592000.0000000005,18408000.0,1.0,6,1.0
500,22,2592000.0,18408000.0,600.0,6,1.0
501,145,2592000.0,18408000.0,600.0,5,1.0
502,15,2592000.0,18408000.0,10.0,5,1.0
503,71,2592000.0,18408000.0,60.0,2,1.0
504,30,2592000.0,18408000.0,60.0,1,1.0
505,21,2592000.0,18408000.0,600.0,4,1.0
506,20,2592000.0,18408000.0,60.0,3,1.0
507,109,2592000.0,18408000.0,600.0,3,1.0
508,62,2592000.0000000005,18408000.0,1.0,6,1.0
509,19,2592000.0000000005,18408000.0,1.0,4,1.0
510,18,2592000.0,18408000.0,600.0,5,1.0
511,49,2592000.0,18408000.0,10.0,5,1.0
512,117,2592000.0000000005,18408000.0,1.0,3,1.0
513,21,2592000.0000000005,18408000.0,1.0,5,1.0
514,18,2592000.0,18408000.0,600.0,2,1.0
515,21,2592000.0,18408000.0,60.0,5,1.0
516,19,2592000.0,18408000.0,600.0,5,1.0
517,38,2592000.0000000005,18408000.0,1.0,3,1.0
518,70,2592000.0,18408000.0,600.0,5,1.0
519,21,2592000.0,18408000.0,10.0,5,1.0
520,37,2592000.0000000005,18408000.0,1.0,5,1.0
521,26,2592000.0,18408000.0,10.0,2,1.0
